Experimento	g_num_deterministic_calls	g_num_cache_misses	g_num_cache_misses (%)	cache_size
03dataoneexps/03dataoneexps_exp02_40_e_44_Agua_Salud_Rainfall_Data	2	2	100,0%	2
03dataoneexps/03dataoneexps_exp04_49_Analysis_Of_Flow	2	2	100,0%	2
01pilots/01pilots_exp05_heap_permutation	69281	69281	100,0%	69281
01pilots/01pilots_exp05_heap_permutation	41	41	100,0%	41
01pilots/01pilots_exp05_heap_permutation	1237	1237	100,0%	1237
01pilots/01pilots_exp05_heap_permutation	8660	8660	100,0%	8660
01pilots/01pilots_exp05_heap_permutation	206	206	100,0%	206
01pilots/01pilots_exp04_heat_distribution_lu/adapted_for_speedupy	74	38	51,351351351351354%	38
01pilots/01pilots_exp01_fibonacci	89	46	51,68539325842696%	46
01pilots/01pilots_exp02_power	401	401	100,0%	401
01pilots/01pilots_exp02_power	431	431	100,0%	431
01pilots/01pilots_exp02_power	461	461	100,0%	461
01pilots/01pilots_exp02_power	451	451	100,0%	451
01pilots/01pilots_exp02_power	463	463	100,0%	463
Tiny-GSGP-with-speedupy/adapted_for_speedupy	7392	32	0,4329004329004329%	32
Tiny-GSGP-with-speedupy/adapted_for_speedupy	14112	32	0,22675736961451248%	32
Tiny-GSGP-with-speedupy/adapted_for_speedupy	34272	32	0,09337068160597572%	32
Tiny-GSGP-with-speedupy/adapted_for_speedupy	20832	32	0,15360983102918588%	32
Tiny-GSGP-with-speedupy/adapted_for_speedupy	27552	32	0,11614401858304298%	32
diversity-with-speedupy/Diversity_sims	1	1	100,0%	1
qho-with-speedupy	2	2	100,0%	2
DNACC-with-speedupy/adapted_for_speedupy/examples/ssDNA_tethers	24	3	12,5%	3
DNACC-with-speedupy/adapted_for_speedupy/examples/ssDNA_tethers	27	3	11,11111111111111%	3
DNACC-with-speedupy/adapted_for_speedupy/examples/ssDNA_tethers	18	3	16,666666666666668%	3
DNACC-with-speedupy/adapted_for_speedupy/examples/ssDNA_tethers	33	3	9,090909090909092%	3
DNACC-with-speedupy/adapted_for_speedupy/examples/ssDNA_tethers	21	3	14,285714285714286%	3
DNACC-with-speedupy/adapted_for_speedupy/examples/walking_colloid	8820	7981	90,4875283446712%	7981
DNACC-with-speedupy/adapted_for_speedupy/examples/sphere_potentials	10	2	20,0%	2
DNACC-with-speedupy/adapted_for_speedupy/examples/sphere_potentials	30	2	6,666666666666667%	2
DNACC-with-speedupy/adapted_for_speedupy/examples/sphere_potentials	40	2	5,0%	2
DNACC-with-speedupy/adapted_for_speedupy/examples/sphere_potentials	20	2	10,0%	2
DNACC-with-speedupy/adapted_for_speedupy/examples/sphere_potentials	100	2	2,0%	2
DNACC-with-speedupy/adapted_for_speedupy/examples/basic	1	1	100,0%	1
